model,tahun,harga,transmisi,odometer,jenis,pajak,konsumsiBBM,mesin
 CB150R,2016.09,18592.25,Automatic,89446.57,Trail,17.29,97.66775519713893,125.78
 PCX,2017.29,10843.41,Kopling,90669.96,Bebek,281.18,144.25776056937855,148.4
 CRF 150,2011.95,23036.99,Manual,113533.1,Bebek,175.88,107.25915187804519,70.87
 BeAT Street,2014.28,5057.38,Manual,7760.4,Skuter,209.76,106.2134432097064,145.44
 Verza,2017.72,13975.19,Manual,71616.58,Sport,157.55,88.71081241009583,82.1
 CRF 150,2014.07,18417.51,Automatic,51730.29,Skuter,250.42,89.0601338255679,68.94
 Genio,2015.57,8415.15,Manual,40292.94,Sport,9.94,45.662535204798445,49.71
 CB150R,2015.7,34519.24,Manual,12017.79,Bebek,80.51,86.31809100022501,98.63
 Sonic 150,2012.48,10322.63,Automatic,67592.32,Skuter,140.89,46.5141121009882,34.47
 Revo,2013.9,7865.89,Automatic,57754.45,Skuter,22.98,24.54033194379913,15.74
 CB150R,2013.68,10149.08,Manual,13692.77,Bebek,211.77,29.052721556508203,4.09
 BeAT Street,2011.21,27792.94,Manual,73455.9,Skuter,118.1,62.304801875477665,43.86
 BeAT Street,2011.19,17074.35,Automatic,88217.83,Trail,81.8,65.12703499674886,59.37
 Verza,2017.65,21439.41,Kopling,91668.2,Sport,1.01,57.75608587684282,82.81
 Genio,2013.18,4454.46,Automatic,107916.3,Sport,215.95,61.61286920895479,43.91
 PCX,2015.14,4873.22,Kopling,49568.92,Sport,250.14,109.54887192486852,147.61
 Verza,2013.39,17708.31,Manual,113528.59,Skuter,118.51,66.05071834915906,43.76
 Verza,2018.53,29277.83,Manual,103216.56,Trail,169.27,116.31732639432828,66.15
 Revo,2013.07,31417.57,Kopling,36277.08,Skuter,68.31,30.3473483317812,15.49
 Supra GTR,2014.44,6504.16,Automatic,20132.08,Sport,186.66,30.929024472731463,39.09
 Genio,2017.98,20595.39,Manual,52618.48,Skuter,3.64,45.115353926917166,7.25
 Vario 125,2017.74,32290.85,Kopling,48678.0,Sport,146.59,96.58828843460175,83.93
 Verza,2012.49,15903.36,Automatic,69129.56,Bebek,193.26,101.88673254523012,112.66
 BeAT,2017.42,29680.62,Kopling,70031.64,Sport,275.46,87.64594589481196,29.36
 Supra GTR,2014.67,7970.17,Automatic,89633.72,Bebek,114.4,60.34159335123573,55.19
