model,tahun,harga,transmisi,odometer,jenis,pajak,konsumsiBBM,mesin
 CB150R,2016.09,18592.25,Automatic,89446.57,Trail,17.29,32.3,125.78
 PCX,2017.29,10843.41,Kopling,90669.96,Bebek,281.18,49.44,148.4
 CRF 150,2011.95,23036.99,Manual,113533.1,Bebek,175.88,72.2,70.87
 BeAT Street,2014.28,5057.38,Manual,7760.4,Skuter,209.76,60.11,145.44
 Verza,2017.72,13975.19,Manual,71616.58,Sport,157.55,97.12,82.1
 CRF 150,2014.07,18417.51,Automatic,51730.29,Skuter,250.42,77.58,68.94
 Genio,2015.57,8415.15,Manual,40292.94,Sport,9.94,43.55,49.71
 CB150R,2015.7,34519.24,Manual,12017.79,Bebek,80.51,114.76,98.63
 Sonic 150,2012.48,10322.63,Automatic,67592.32,Skuter,140.89,56.41,34.47
 Revo,2013.9,7865.89,Automatic,57754.45,Skuter,22.98,98.92,15.74
 CB150R,2013.68,10149.08,Manual,13692.77,Bebek,211.77,103.65,4.09
 BeAT Street,2011.21,27792.94,Manual,73455.9,Skuter,118.1,121.43,43.86
 BeAT Street,2011.19,17074.35,Automatic,88217.83,Trail,81.8,76.36,59.37
 Verza,2017.65,21439.41,Kopling,91668.2,Sport,1.01,87.74,82.81
 Genio,2013.18,4454.46,Automatic,107916.3,Sport,215.95,60.48,43.91
 PCX,2015.14,4873.22,Kopling,49568.92,Sport,250.14,93.78,147.61
 Verza,2013.39,17708.31,Manual,113528.59,Skuter,118.51,72.95,43.76
 Verza,2018.53,29277.83,Manual,103216.56,Trail,169.27,70.45,66.15
 Revo,2013.07,31417.57,Kopling,36277.08,Skuter,68.31,110.98,15.49
 Supra GTR,2014.44,6504.16,Automatic,20132.08,Sport,186.66,32.87,39.09
 Genio,2017.98,20595.39,Manual,52618.48,Skuter,3.64,113.55,7.25
 Vario 125,2017.74,32290.85,Kopling,48678.0,Sport,146.59,110.65,83.93
 Verza,2012.49,15903.36,Automatic,69129.56,Bebek,193.26,77.12,112.66
 BeAT,2017.42,29680.62,Kopling,70031.64,Sport,275.46,75.55,29.36
 Supra GTR,2014.67,7970.17,Automatic,89633.72,Bebek,114.4,63.1,55.19
 Vario 125,2014.86,32982.37,Automatic,61384.14,Bebek,229.56,124.43,2.49
 BeAT,2012.07,27242.66,Automatic,13724.33,Bebek,179.31,38.78,125.93
 Genio,2011.64,33167.69,Automatic,102376.7,Sport,278.1,85.25,116.99
 Supra X 125,2016.82,24908.78,Kopling,37837.59,Trail,119.51,94.12,9.49
 BeAT,2014.97,15136.84,Kopling,115672.89,Sport,95.73,118.63,54.73
 Sonic 150,2014.49,33069.31,Kopling,15258.3,Skuter,266.14,103.68,143.29
 Supra GTR,2016.84,12396.41,Kopling,114137.87,Skuter,14.77,90.45,58.8
 CRF 150,2017.12,14162.45,Kopling,12099.36,Trail,40.92,39.33,78.93
 BeAT,2012.27,25663.52,Automatic,28574.48,Trail,24.72,64.25,53.29
 BeAT ,2015.88,27676.1,Manual,6871.55,Trail,252.93,41.47,89.42
 Supra X 125,2012.08,32795.46,Manual,84353.91,Bebek,3.18,113.48,146.72
 BeAT Street,2017.01,10188.63,Kopling,101436.3,Trail,258.5,100.71,149.63
 BeAT Street,2016.26,28695.74,Kopling,52463.37,Trail,135.38,101.48,116.21
 Sonic 150,2018.65,26840.9,Manual,110639.98,Trail,1.21,91.27,60.65
 BeAT,2011.55,5789.33,Automatic,70845.0,Sport,120.49,77.18,74.16
 BeAT,2011.46,15879.97,Kopling,75517.01,Skuter,56.04,42.55,53.51
 Revo,2013.26,12621.0,Automatic,100862.18,Skuter,187.32,59.98,147.84
 BeAT,2013.09,13298.8,Manual,36312.22,Trail,203.81,41.28,106.16
 CB150R,2012.98,34465.96,Manual,43073.55,Skuter,146.26,98.32,67.34
 PCX,2018.25,23853.01,Kopling,107984.4,Sport,12.16,43.54,1.82
 BeAT ,2013.0,26189.78,Automatic,107397.46,Skuter,196.84,96.11,78.07
 Revo,2013.18,34268.49,Kopling,116282.99,Bebek,252.61,95.15,147.59
 Genio,2017.08,15567.32,Manual,107500.39,Sport,216.1,72.55,78.46
 Revo,2014.6,28815.61,Automatic,16377.47,Skuter,248.99,41.12,27.36
 CB150R,2017.21,17355.93,Kopling,98309.58,Skuter,60.15,58.54,3.31
 Genio,2011.52,30927.58,Kopling,49612.19,Sport,266.67,59.05,53.21
 BeAT ,2014.9,9435.33,Kopling,117967.7,Skuter,96.66,95.94,137.73
 CB150R,2011.27,33365.86,Manual,56959.11,Skuter,4.02,39.03,149.48
 Vario 125,2011.5,10624.46,Kopling,66554.8,Trail,253.02,108.42,141.81
 PCX,2018.25,13976.75,Automatic,63723.79,Bebek,282.55,101.82,109.41
 BeAT ,2012.11,27391.44,Kopling,39246.26,Sport,196.67,46.07,83.72
 BeAT,2015.26,16083.77,Manual,10218.02,Trail,69.43,97.76,88.6
 Vario 125,2014.29,22774.59,Kopling,106772.43,Skuter,75.52,92.85,80.85
 Sonic 150,2013.78,17669.25,Manual,95833.03,Sport,139.98,100.57,106.06
 BeAT ,2018.2,26960.2,Manual,17807.58,Sport,269.35,46.33,62.83
 Sonic 150,2011.17,10922.71,Automatic,92784.78,Bebek,44.88,43.29,100.38
 Genio,2016.31,5622.83,Automatic,75027.49,Bebek,247.79,50.94,18.24
 Vario 125,2018.71,13156.5,Kopling,49530.45,Sport,87.39,63.49,39.85
